Offence,Latitude,Longitude
Theft,47.59918733,-122.320332
Theft,47.66438257,-122.2833628
Theft,47.60951125,-122.2975449
Fraud,47.67649213,-122.3532998
Drugs,47.60951744,-122.3383483
Theft,47.6506252,-122.3505458
Fraud,47.7086028,-122.3246152
Theft,47.66175556,-122.2988871
Drugs,47.59750945,-122.3196446
Fraud,47.59750945,-122.3196446
Theft,47.6506252,-122.3505458
Theft,47.66218058,-122.3131157
Fraud,47.67598308,-122.3662908
Robbery,47.61372707,-122.3391736
Traffic Law,47.61372707,-122.3391736
Fraud,47.66038221,-122.3187824
Robbery,47.68947337,-122.3606483
Fraud,47.64141974,-122.3466428
Fraud,47.56397206,-122.3787703
Fraud,47.56397206,-122.3787703
Theft,47.63740507,-122.3477075
Fraud,47.49896304,-122.2610179
Robbery,47.66127317,-122.3137077
Theft,47.7085692,-122.3192068
Theft,47.66173535,-122.3364341
Public Nuisance,47.69873276,-122.3512552
Public Nuisance,47.66323339,-122.3514756
Theft,47.6169873,-122.3208265
Theft,47.62367132,-122.2948943
Theft,47.61210339,-122.3338081
Theft,47.72943438,-122.3646465
Public Nuisance,47.69244514,-122.3600016
Theft,47.50731753,-122.3787287
Theft,47.60276918,-122.3314085
Public Nuisance,47.67777043,-122.3660203
Theft,47.60690257,-122.3413345
Theft,47.6812638,-122.3594463
Theft,47.68779109,-122.3800178
Public Nuisance,47.60464465,-122.3292876
Fraud,47.55307106,-122.3950302
Fraud,47.62196996,-122.3310702
Theft,47.57981138,-122.3351249
Theft,47.52196556,-122.3767307
Theft,47.66508479,-122.3831062
Theft,47.6812084,-122.3174497
Theft,47.69288726,-122.3004893
Public Nuisance,47.72503555,-122.3449968
Theft,47.67668633,-122.276901
Others,47.61395514,-122.3365847
Public Nuisance,47.56842538,-122.3707665
Theft,47.61090902,-122.3350179
Theft,47.61201358,-122.3402422
Theft,47.68596821,-122.3767897
Public Nuisance,47.68596821,-122.3767897
Theft,47.64102318,-122.3107078
Theft,47.6862023,-122.3606507
Theft,47.69704501,-122.2905441
Public Nuisance,47.68015558,-122.3246114
Public Nuisance,47.63620722,-122.3022684
Theft,47.60878866,-122.3384495
Theft,47.52849122,-122.3853635
Fraud,47.61135552,-122.320313
Theft,47.66332336,-122.2984112
Theft,47.65475623,-122.344657
Public Nuisance,47.60622905,-122.3102488
Fraud,47.50728081,-122.2512086
Theft,47.63750678,-122.3258971
Theft,47.61216878,-122.3369385
Fraud,47.61477578,-122.3389643
Theft,47.6169873,-122.3208265
Public Nuisance,47.58610395,-122.3351215
Theft,47.68252504,-122.2636832
Public Nuisance,47.66864556,-122.3950763
Theft,47.61122962,-122.3253344
Robbery,47.60241242,-122.3310822
Theft,47.60832457,-122.3395594
Fraud,47.70025321,-122.3257898
Theft,47.55305099,-122.3309331
Public Nuisance,47.54607698,-122.2873165
Theft,47.62028465,-122.3371658
Theft,47.57593312,-122.4126976
Public Nuisance,47.65216865,-122.3755531
Theft,47.67163093,-122.3775469
Theft,47.66899297,-122.3118843
Theft,47.6322825,-122.3474886
Theft,47.61952437,-122.2934917
Theft,47.65835777,-122.3618756
Theft,47.54487245,-122.3197917
Theft,47.65948109,-122.3639925
Theft,47.66595739,-122.3826663
Fraud,47.61170568,-122.3380477
Theft,47.52211381,-122.3454499
Theft,47.69782007,-122.3486505
Theft,47.50318981,-122.2621419
Theft,47.62511902,-122.3272451
Theft,47.51654951,-122.3780953
Theft,47.63965592,-122.3761541
Theft,47.66957786,-122.3321068
Theft,47.68299248,-122.3279093
Theft,47.62371704,-122.324034
Traffic Law,47.61980873,-122.3234715
Theft,47.51293677,-122.3872912
Theft,47.62073726,-122.2911902
Theft,47.69288726,-122.3004893
Theft,47.66945596,-122.3861649
Theft,47.61173309,-122.3417526
Theft,47.53155081,-122.2850433
Theft,47.58610377,-122.3341978
Public Nuisance,47.59678343,-122.3332682
Traffic Law,47.63057253,-122.3462451
Traffic Law,47.53891249,-122.2937511
Sex Crime,0.0,0.0
Theft,47.61090902,-122.3350179
Theft,47.51985178,-122.2680301
Theft,47.617225,-122.3312087
Theft,47.7086028,-122.3246152
Public Nuisance,47.54834584,-122.3597999
Theft,47.58295413,-122.3016639
Theft,47.57981194,-122.336786
Public Nuisance,47.55233647,-122.2854657
Theft,47.67475338,-122.3254547
Public Nuisance,47.66395556,-122.3072045
Fraud,47.67561847,-122.3875844
Public Nuisance,47.61704061,-122.3255523
Theft,47.61090902,-122.3350179
Theft,47.61062346,-122.3401282
Public Nuisance,47.57020992,-122.2991745
Fraud,47.69535536,-122.2812861
Public Nuisance,47.68874957,-122.3438356
Theft,47.51561012,-122.3779782
Public Nuisance,47.53764263,-122.270433
Robbery,47.61132124,-122.3373204
Theft,47.6093176,-122.3404677
Theft,47.64254854,-122.3555535
Theft,47.70928167,-122.3273114
Fraud,47.62604294,-122.3073082
Theft,47.61856243,-122.3453657
Robbery,47.68966673,-122.3768028
Public Nuisance,47.64865856,-122.356463
Theft,47.60947933,-122.3283394
Theft,47.70858578,-122.3219184
Theft,47.68788685,-122.3116423
Robbery,47.61886279,-122.3267269
Public Nuisance,47.60898867,-122.3363299
Public Nuisance,47.57876777,-122.3290571
Fraud,47.6579168,-122.3166652
Theft,47.53978423,-122.2824299
Theft,47.65496124,-122.4008979
Theft,47.57664991,-122.3290582
Theft,47.587407,-122.3862984
Public Nuisance,47.54053232,-122.3223531
Drugs,47.55339267,-122.3283566
Theft,47.6296551,-122.3286106
Theft,47.52011424,-122.3564799
Theft,47.60214897,-122.3341768
Theft,47.61236844,-122.3348178
Theft,47.61044025,-122.3368905
Robbery,47.53704403,-122.2823449
Theft,47.56973595,-122.3867677
Public Nuisance,47.7031221,-122.3204467
Theft,47.59450349,-122.3067619
