Offence,Latitude,Longitude
Others,42.34635688,-71.16149498
Others,42.33426819,-71.0849914
Others,42.28709355,-71.14822128
Others,42.36038173,-71.06285768
Assault,42.3088984,-71.0830519
Theft,42.3412875,-71.05467933
Others,42.28786728,-71.10934988
Theft,0.0,0.0
Assault,42.29105646,-71.08933752
Assault,0.0,0.0
Accident,42.33794397,-71.05692894
Public Nuisance,42.29755533,-71.0597091
Others,42.26660696,-71.11827595
Assault,42.34442266,-71.09833083
Public Nuisance,42.27967492,-71.08381263
Others,42.3412875,-71.05467933
Others,42.29755533,-71.0597091
Others,42.29755533,-71.0597091
Accident,42.26701085,-71.12096171
Assault,42.25621592,-71.12401947
Others,0.0,0.0
Others,42.34496728,-71.06382224
Others,42.33611274,-71.10927826
Public Nuisance,42.25621592,-71.12401947
Others,42.24313318,-71.13838805
Others,42.33665048,-71.07841035
Robbery,42.27615691,-71.09550303
Assault,42.36339723,-71.07022378
Public Nuisance,42.25621592,-71.12401947
Public Nuisance,42.37081805,-71.03929078
Theft,42.34800978,-71.0766976
Theft,42.336955,-71.07747
Accident,42.28709355,-71.14822128
Theft,42.38231223,-71.07940663
Accident,42.30258096,-71.08476597
Theft,42.3712953,-71.04342377
Others,42.31777605,-71.0619754
Fraud,42.29755533,-71.0597091
Others,42.33959497,-71.06500305
Others,42.349056,-71.1504985
Others,42.3601566,-71.1249469
Accident,42.34904999,-71.16311004
Murder,42.35428377,-71.06380404
Drugs,42.37663167,-71.05593195
Others,42.27314233,-71.11067921
Others,42.29115845,-71.0633908
Accident,42.31851534,-71.09560596
Theft,42.30971857,-71.10429432
Fraud,42.27028577,-71.16534757
Others,42.36643546,-71.06135413
Robbery,42.32696647,-71.06198607
Robbery,42.32809966,-71.06321676
Others,42.33486614,-71.0785518
Others,42.25751902,-71.11801314
Theft,42.33954199,-71.06940877
Assault,42.34435498,-71.08804904
Others,42.25621592,-71.12401947
Others,42.33219564,-71.04115504
Fraud,42.37081805,-71.03929078
Theft,42.349056,-71.1504985
Others,42.25591938,-71.11069719
Others,42.31705298,-71.065214
Others,0.0,0.0
Others,42.34999733,-71.0810344
Accident,42.34396896,-71.10001303
Theft,42.31420573,-71.09134282
Theft,42.349056,-71.1504985
Others,42.28481003,-71.06457001
Others,42.29938509,-71.06978865
Others,42.2697094,-71.1638444
Others,42.35186996,-71.07069005
Accident,42.34186997,-71.06635
Fraud,42.32962107,-71.05763827
Assault,42.333582,-71.166091
Public Nuisance,42.35674412,-71.14367007
Others,42.33972742,-71.04976204
Public Nuisance,42.35542032,-71.13484892
Public Nuisance,42.29642169,-71.07045327
Others,42.30482874,-71.11338552
Others,0.0,0.0
Theft,42.33954199,-71.06940877
Public Nuisance,42.33626664,-71.14950271
Theft,42.33954199,-71.06940877
Others,42.33228037,-71.03630323
Others,42.35115368,-71.17291563
Others,42.33996911,-71.15048615
Others,0.0,0.0
Others,42.28482577,-71.09137369
Others,42.32424069,-71.07761917
